,,percentage_To,type_pre,percentage_From,percentage_max,opacity_score
R8p,Mi1,6.131124311951605,R8p,0.31912811362662863,6.131124311951605,24.7
R8p,L3,2.1418060929750937,R8p,0.38809065323655756,2.1418060929750937,14.3
R8p,C2,1.0463785492397406,R8p,0.1909250917335402,1.0463785492397406,11.4
R8p,L2,0.5667883808381928,R8p,0.04247862794031752,0.5667883808381928,10.2
R8p,C3,0.26704452558722547,R8p,0.03248432134286206,0.26704452558722547,9.4
R8p,l-LNv,0.05994877105019347,R8p,0.24363233665559247,0.24363233665559247,9.3
R8p,L5,0.22344541936890294,R8p,0.016292922910631332,0.22344541936890294,9.3
R8p,aMe4,0.021799553109161263,R8p,0.04521306657624054,0.04521306657624054,8.8
R8p,Lawf1,0.03814921794103221,R8p,0.005698887088764237,0.03814921794103221,8.8
R8p,R8p,0.016349664831870947,R8p,0.03755163349605708,0.03755163349605708,8.8
R8p,L4,0.005449888277290316,R8p,0.002187035255008311,0.005449888277290316,8.7
L1,C3,16.039294400421102,L1,33.53310086050305,33.53310086050305,96.2
L1,C2,9.077475797731504,L1,28.466732297166953,28.466732297166953,83.0
L1,L5,22.625672637563696,L1,28.354851913226277,28.354851913226277,82.7
L1,Mi1,23.580128296597888,L1,21.09451014543732,23.580128296597888,70.2
L1,R1-R6,0.2939469753902646,L1,5.073336252189142,5.073336252189142,21.9
L1,L2,0.3881241616803493,L1,0.4999407749898909,0.4999407749898909,10.0
L1,L4,0.04439328646670662,L1,0.3061849357011635,0.3061849357011635,9.5
L1,L3,0.08307886467340811,L1,0.25872710215770506,0.25872710215770506,9.4
L1,R8p,0.004756423550004281,L1,0.1877581674802854,0.1877581674802854,9.2
L1,l-LNv,0.0025367592266689496,L1,0.17718715393134,0.17718715393134,9.2
L1,Lawf1,0.033294964850029966,L1,0.08548330633146356,0.08548330633146356,8.9
L1,aMe4,0.0009512847100008562,L1,0.0339097999321804,0.0339097999321804,8.8
L1,L1,0.005073518453337899,L1,0.010019475355221713,0.010019475355221713,8.7
